================================================================================
TRIPLE SIGNAL SCANNER - ULTIMATE BUY SETUP RESULTS
================================================================================
Scan Date: 2025-12-21 19:35:17

SIGNAL CRITERIA (ALL MUST BE TRUE):
  1. In Channel: Price within 3-week range (consolidating)
  2. Price Zone: In buy zone (0-35% of range)
  3. EFI Momentum: Maroon or orange (oversold)
  4. Trend: Uptrend confirmed

Total TRIPLE SIGNALS Found: 124
================================================================================

TRIPLE SIGNAL SETUPS (Sorted by Range Position - Lower = Better):
--------------------------------------------------------------------------------
Ticker   Date         Price      Range        Pos %    EFI      Force Idx   
HLLY     12/18/2025   $4.13      $4-$5        13.0   % ORANGE         -0.04
DHI      12/18/2025   $151.40    $150-$160    14.0   % MAROON         -5.54
NUVL     12/18/2025   $101.41    $100-$110    14.1   % ORANGE         -6.23
FICO     12/18/2025   $1761.41   $1760-$1770  14.1   % ORANGE        -39.45
TMHC     12/18/2025   $61.44     $60-$70      14.4   % ORANGE         -0.66
MTSI     12/18/2025   $171.47    $170-$180    14.7   % ORANGE        -10.46
RLMD     12/18/2025   $4.15      $4-$5        15.0   % ORANGE         -0.07
NAII     12/18/2025   $3.15      $3-$4        15.0   % ORANGE         -0.18
CORT     12/18/2025   $81.54     $80-$90      15.4   % MAROON         -3.39
OMER     12/18/2025   $9.16      $9-$10       16.0   % ORANGE         -1.15
VRDN     12/18/2025   $31.60     $30-$40      16.0   % MAROON         -0.68
SOHO     12/18/2025   $2.16      $2-$3        16.0   % MAROON         -0.03
ROK      12/18/2025   $391.62    $390-$400    16.2   % ORANGE        -12.79
MD       12/18/2025   $21.64     $20-$30      16.4   % MAROON         -1.47
NEO      12/18/2025   $11.68     $10-$20      16.8   % ORANGE         -0.11
OKE      12/18/2025   $71.69     $70-$80      16.9   % MAROON         -2.56
TWI      12/18/2025   $8.17      $8-$9        17.0   % ORANGE         -0.09
ONTO     12/18/2025   $151.73    $150-$160    17.3   % ORANGE         -3.08
RIGL     12/18/2025   $41.77     $40-$50      17.7   % ORANGE         -2.65
NGS      12/18/2025   $31.78     $30-$40      17.8   % MAROON         -1.09
NSC      12/18/2025   $291.83    $290-$300    18.3   % MAROON         -2.97
STEL     12/18/2025   $31.84     $30-$40      18.4   % MAROON         -0.02
STOK     12/18/2025   $31.93     $30-$40      19.3   % MAROON         -0.16
ATRO     12/18/2025   $51.94     $50-$60      19.4   % ORANGE         -0.01
SBCF     12/18/2025   $31.95     $30-$40      19.5   % MAROON         -0.34
RCUS     12/18/2025   $21.99     $20-$30      19.9   % MAROON         -2.71
AGYS     12/18/2025   $122.01    $120-$130    20.1   % ORANGE         -3.22
VCYT     12/18/2025   $42.04     $40-$50      20.4   % ORANGE         -3.02
LIVN     12/18/2025   $62.08     $60-$70      20.8   % MAROON         -0.76
NXPI     12/18/2025   $222.08    $220-$230    20.8   % MAROON         -0.97
TRVI     12/18/2025   $12.19     $10-$20      21.9   % ORANGE         -1.01
AAPL     12/18/2025   $272.19    $270-$280    21.9   % ORANGE         -7.62
COP      12/18/2025   $92.23     $90-$100     22.3   % MAROON         -1.58
FN       12/18/2025   $452.46    $450-$460    24.6   % ORANGE        -22.74
GOOGL    12/18/2025   $302.46    $300-$310    24.6   % ORANGE        -12.13
COCO     12/18/2025   $52.48     $50-$60      24.8   % ORANGE         -0.56
IQV      12/18/2025   $222.52    $220-$230    25.2   % ORANGE         -1.25
DDS      12/18/2025   $652.55    $650-$660    25.5   % ORANGE        -10.97
FRSH     12/18/2025   $12.59     $10-$20      25.9   % ORANGE         -0.02
IRWD     12/18/2025   $3.26      $3-$4        26.0   % MAROON         -0.44
MRKR     12/18/2025   $1.26      $1-$2        26.0   % MAROON         -0.12
NOG      12/17/2025   $22.62     $20-$30      26.2   % ORANGE         -0.79
ATXS     12/18/2025   $12.71     $10-$20      27.1   % ORANGE         -0.20
KBH      12/18/2025   $62.75     $60-$70      27.5   % MAROON         -1.43
GSHD     12/18/2025   $72.79     $70-$80      27.9   % ORANGE         -2.15
KBR      12/18/2025   $42.80     $40-$50      28.0   % MAROON         -0.24
HASI     12/18/2025   $32.83     $30-$40      28.3   % ORANGE         -0.22
TCBI     12/18/2025   $92.86     $90-$100     28.6   % MAROON         -1.39
CSPI     12/18/2025   $12.87     $10-$20      28.7   % ORANGE         -0.68
HRTX     12/18/2025   $1.29      $1-$2        29.0   % ORANGE         -0.01
BCRX     12/18/2025   $7.29      $7-$8        29.0   % ORANGE         -0.28
IVVD     12/18/2025   $2.29      $2-$3        29.0   % ORANGE         -0.06
SRRK     12/18/2025   $42.93     $40-$50      29.3   % MAROON         -2.08
MAX      12/18/2025   $12.94     $10-$20      29.4   % ORANGE         -0.00
QLYS     12/18/2025   $142.95    $140-$150    29.5   % ORANGE         -6.27
MS       12/18/2025   $172.96    $170-$180    29.6   % MAROON         -3.86
FG       12/18/2025   $32.97     $30-$40      29.7   % ORANGE         -0.68
OCUL     12/18/2025   $12.98     $10-$20      29.8   % MAROON         -1.58
TPH      12/18/2025   $32.98     $30-$40      29.8   % ORANGE         -0.56
JPM      12/18/2025   $313.00    $310-$320    30.0   % MAROON         -0.56
MHO      12/18/2025   $133.00    $130-$140    30.0   % MAROON         -1.32
STGW     12/18/2025   $5.30      $5-$6        30.0   % ORANGE         -0.42
WNC      12/18/2025   $9.30      $9-$10       30.0   % MAROON         -0.05
SFBS     12/18/2025   $73.01     $70-$80      30.1   % MAROON         -0.84
LSCC     12/18/2025   $73.03     $70-$80      30.3   % ORANGE         -2.39
DOW      12/18/2025   $23.04     $20-$30      30.4   % ORANGE         -0.56
STEP     12/18/2025   $63.04     $60-$70      30.4   % ORANGE         -0.55
DMAC     12/18/2025   $8.31      $8-$9        31.0   % ORANGE         -0.61
STC      12/18/2025   $73.15     $70-$80      31.5   % ORANGE         -1.22
ST       12/18/2025   $33.22     $30-$40      32.2   % ORANGE         -0.86
OWLT     12/18/2025   $13.23     $10-$20      32.3   % ORANGE         -0.33
PESI     12/18/2025   $13.24     $10-$20      32.4   % ORANGE         -0.52
IDYA     12/18/2025   $33.26     $30-$40      32.6   % MAROON         -1.41
COHU     12/18/2025   $23.30     $20-$30      33.0   % ORANGE         -1.26
PIPR     12/18/2025   $343.31    $340-$350    33.1   % ORANGE         -7.01
CWBC     12/18/2025   $23.31     $20-$30      33.1   % ORANGE         -0.13
F        12/18/2025   $13.32     $10-$20      33.2   % ORANGE         -0.08
HXL      12/18/2025   $73.36     $70-$80      33.6   % ORANGE         -1.60
CLRO     12/18/2025   $5.35      $5-$6        35.0   % ORANGE         -0.02
AMAT     12/18/2025   $253.50    $250-$260    35.0   % ORANGE         -9.27

================================================================================

DETAILED BREAKDOWN:
--------------------------------------------------------------------------------

TICKER: GTN
  Date: 2025-12-18
  Price: $5.00
  Range: $5-$6
  Position in Range: 0.0%
  Buy Zone (25%): $5.25
  EFI Color: MAROON
  Force Index: -0.02
  Normalized Price: 0.04
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: ELOX
  Date: 2025-12-18
  Price: $0.00
  Range: $0-$1
  Position in Range: 0.0%
  Buy Zone (25%): $0.25
  EFI Color: ORANGE
  Force Index: -0.00
  Normalized Price: 0.00
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: INVA
  Date: 2025-12-18
  Price: $20.07
  Range: $20-$30
  Position in Range: 0.7%
  Buy Zone (25%): $22.50
  EFI Color: ORANGE
  Force Index: -0.90
  Normalized Price: 0.11
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: KROS
  Date: 2025-12-18
  Price: $20.13
  Range: $20-$30
  Position in Range: 1.3%
  Buy Zone (25%): $22.50
  EFI Color: MAROON
  Force Index: -0.60
  Normalized Price: 2.70
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: HLIT
  Date: 2025-12-18
  Price: $10.15
  Range: $10-$20
  Position in Range: 1.5%
  Buy Zone (25%): $12.50
  EFI Color: MAROON
  Force Index: -0.02
  Normalized Price: 0.21
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: GRTX
  Date: 2025-12-18
  Price: $0.02
  Range: $0-$1
  Position in Range: 2.3%
  Buy Zone (25%): $0.25
  EFI Color: MAROON
  Force Index: -0.00
  Normalized Price: 0.00
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: FSLY
  Date: 2025-12-18
  Price: $10.25
  Range: $10-$20
  Position in Range: 2.5%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.66
  Normalized Price: 0.51
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: IAS
  Date: 2025-12-18
  Price: $10.26
  Range: $10-$20
  Position in Range: 2.6%
  Buy Zone (25%): $12.50
  EFI Color: MAROON
  Force Index: -0.01
  Normalized Price: 0.30
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: ORA
  Date: 2025-12-18
  Price: $110.31
  Range: $110-$120
  Position in Range: 3.1%
  Buy Zone (25%): $112.50
  EFI Color: ORANGE
  Force Index: -2.52
  Normalized Price: 4.38
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: SPXC
  Date: 2025-12-18
  Price: $210.34
  Range: $210-$220
  Position in Range: 3.4%
  Buy Zone (25%): $212.50
  EFI Color: ORANGE
  Force Index: -6.06
  Normalized Price: 7.51
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: KO
  Date: 2025-12-18
  Price: $70.36
  Range: $70-$80
  Position in Range: 3.6%
  Buy Zone (25%): $72.50
  EFI Color: MAROON
  Force Index: -0.32
  Normalized Price: 0.88
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: CMPX
  Date: 2025-12-18
  Price: $5.04
  Range: $5-$6
  Position in Range: 4.0%
  Buy Zone (25%): $5.25
  EFI Color: ORANGE
  Force Index: -0.26
  Normalized Price: 0.58
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: VZ
  Date: 2025-12-18
  Price: $40.41
  Range: $40-$50
  Position in Range: 4.1%
  Buy Zone (25%): $42.50
  EFI Color: MAROON
  Force Index: -0.60
  Normalized Price: -0.53
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: IRON
  Date: 2025-12-18
  Price: $90.44
  Range: $90-$100
  Position in Range: 4.4%
  Buy Zone (25%): $92.50
  EFI Color: ORANGE
  Force Index: -1.70
  Normalized Price: 7.95
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: TER
  Date: 2025-12-18
  Price: $190.45
  Range: $190-$200
  Position in Range: 4.5%
  Buy Zone (25%): $192.50
  EFI Color: ORANGE
  Force Index: -2.22
  Normalized Price: 26.59
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: ORN
  Date: 2025-12-18
  Price: $10.45
  Range: $10-$20
  Position in Range: 4.5%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.21
  Normalized Price: 0.93
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: IBM
  Date: 2025-12-18
  Price: $300.45
  Range: $300-$310
  Position in Range: 4.5%
  Buy Zone (25%): $302.50
  EFI Color: MAROON
  Force Index: -11.08
  Normalized Price: 7.19
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: MAT
  Date: 2025-12-18
  Price: $20.46
  Range: $20-$30
  Position in Range: 4.6%
  Buy Zone (25%): $22.50
  EFI Color: ORANGE
  Force Index: -0.05
  Normalized Price: 1.09
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: UPWK
  Date: 2025-12-18
  Price: $20.47
  Range: $20-$30
  Position in Range: 4.7%
  Buy Zone (25%): $22.50
  EFI Color: ORANGE
  Force Index: -0.06
  Normalized Price: 2.31
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: WEX
  Date: 2025-12-18
  Price: $150.47
  Range: $150-$160
  Position in Range: 4.7%
  Buy Zone (25%): $152.50
  EFI Color: ORANGE
  Force Index: -0.82
  Normalized Price: -1.73
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: ALT
  Date: 2025-12-18
  Price: $5.05
  Range: $5-$6
  Position in Range: 5.0%
  Buy Zone (25%): $5.25
  EFI Color: MAROON
  Force Index: -0.21
  Normalized Price: 0.49
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: PUMP
  Date: 2025-12-18
  Price: $9.05
  Range: $9-$10
  Position in Range: 5.0%
  Buy Zone (25%): $9.25
  EFI Color: ORANGE
  Force Index: -2.02
  Normalized Price: 0.51
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: ILMN
  Date: 2025-12-18
  Price: $130.51
  Range: $130-$140
  Position in Range: 5.1%
  Buy Zone (25%): $132.50
  EFI Color: ORANGE
  Force Index: -0.55
  Normalized Price: 14.19
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: FLXS
  Date: 2025-12-18
  Price: $40.53
  Range: $40-$50
  Position in Range: 5.3%
  Buy Zone (25%): $42.50
  EFI Color: MAROON
  Force Index: -0.90
  Normalized Price: 0.90
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: LAZ
  Date: 2025-12-18
  Price: $50.53
  Range: $50-$60
  Position in Range: 5.3%
  Buy Zone (25%): $52.50
  EFI Color: ORANGE
  Force Index: -0.57
  Normalized Price: 0.04
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: TRNO
  Date: 2025-12-18
  Price: $60.58
  Range: $60-$70
  Position in Range: 5.8%
  Buy Zone (25%): $62.50
  EFI Color: MAROON
  Force Index: -0.78
  Normalized Price: 1.07
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: SVRA
  Date: 2025-12-18
  Price: $6.06
  Range: $6-$7
  Position in Range: 6.0%
  Buy Zone (25%): $6.25
  EFI Color: MAROON
  Force Index: -0.39
  Normalized Price: 1.27
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: KODK
  Date: 2025-12-18
  Price: $8.06
  Range: $8-$9
  Position in Range: 6.0%
  Buy Zone (25%): $8.25
  EFI Color: MAROON
  Force Index: -0.78
  Normalized Price: 0.68
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: CMI
  Date: 2025-12-18
  Price: $500.61
  Range: $500-$510
  Position in Range: 6.1%
  Buy Zone (25%): $502.50
  EFI Color: ORANGE
  Force Index: -9.61
  Normalized Price: 43.04
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: HOFT
  Date: 2025-12-18
  Price: $10.68
  Range: $10-$20
  Position in Range: 6.8%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.10
  Normalized Price: 0.46
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: NXTC
  Date: 2025-12-18
  Price: $10.70
  Range: $10-$20
  Position in Range: 7.0%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -1.37
  Normalized Price: 1.02
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: SPRU
  Date: 2025-12-18
  Price: $5.08
  Range: $5-$6
  Position in Range: 8.0%
  Buy Zone (25%): $5.25
  EFI Color: ORANGE
  Force Index: -0.03
  Normalized Price: 1.24
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: GHM
  Date: 2025-12-18
  Price: $60.84
  Range: $60-$70
  Position in Range: 8.4%
  Buy Zone (25%): $62.50
  EFI Color: MAROON
  Force Index: -0.97
  Normalized Price: 3.15
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: TALO
  Date: 2025-12-18
  Price: $10.85
  Range: $10-$20
  Position in Range: 8.5%
  Buy Zone (25%): $12.50
  EFI Color: MAROON
  Force Index: -0.86
  Normalized Price: 0.44
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: DVAX
  Date: 2025-12-18
  Price: $10.87
  Range: $10-$20
  Position in Range: 8.7%
  Buy Zone (25%): $12.50
  EFI Color: ORANGE
  Force Index: -0.04
  Normalized Price: 0.19
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: XPO
  Date: 2025-12-18
  Price: $140.92
  Range: $140-$150
  Position in Range: 9.2%
  Buy Zone (25%): $142.50
  EFI Color: MAROON
  Force Index: -6.51
  Normalized Price: 4.71
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: PLTK
  Date: 2025-12-18
  Price: $4.10
  Range: $4-$5
  Position in Range: 10.0%
  Buy Zone (25%): $4.25
  EFI Color: ORANGE
  Force Index: -0.13
  Normalized Price: 0.12
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: SMTC
  Date: 2025-12-18
  Price: $71.01
  Range: $70-$80
  Position in Range: 10.1%
  Buy Zone (25%): $72.50
  EFI Color: ORANGE
  Force Index: -4.60
  Normalized Price: 2.99
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: MUR
  Date: 2025-12-18
  Price: $31.04
  Range: $30-$40
  Position in Range: 10.4%
  Buy Zone (25%): $32.50
  EFI Color: MAROON
  Force Index: -2.20
  Normalized Price: 1.63
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: NBR
  Date: 2025-12-18
  Price: $51.14
  Range: $50-$60
  Position in Range: 11.4%
  Buy Zone (25%): $52.50
  EFI Color: ORANGE
  Force Index: -3.67
  Normalized Price: 3.72
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: PLXS
  Date: 2025-12-18
  Price: $151.16
  Range: $150-$160
  Position in Range: 11.6%
  Buy Zone (25%): $152.50
  EFI Color: ORANGE
  Force Index: -2.79
  Normalized Price: 6.45
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
  ✓ EFI Momentum: OVERSOLD
  ✓ Trend: UPTREND
--------------------------------------------------------------------------------

TICKER: CCS
  Date: 2025-12-18
  Price: $61.19
  Range: $60-$70
  Position in Range: 11.9%
  Buy Zone (25%): $62.50
  EFI Color: MAROON
  Force Index: -2.17
  Normalized Price: -0.36
  Trend: UPTREND
  ✓ In Channel: YES (consolidating)
  ✓ Price Zone: BUY ZONE
