Ticker,Company,Sector
UPS,UNITED PARCEL SERVICE INC CLASS B,Industrials
LOW,LOWES COMPANIES INC,Consumer Discretionary
SPGI,S&P GLOBAL INC,Financials
UNP,UNION PACIFIC CORP,Industrials
MDT,MEDTRONIC PLC,Health Care
AMGN,AMGEN INC,Health Care
SBUX,STARBUCKS CORP,Consumer Discretionary
T,AT&T INC,Communication
QCOM,QUALCOMM INC,Information Technology
IBM,INTERNATIONAL BUSINESS MACHINES CO,Information Technology
BA,BOEING,Industrials
PLD,PROLOGIS REIT INC,Real Estate
GE,GENERAL ELECTRIC,Industrials
CAT,CATERPILLAR INC,Industrials
ISRG,INTUITIVE SURGICAL INC,Health Care
GS,GOLDMAN SACHS GROUP INC,Financials
ELV,ELEVANCE HEALTH INC,Health Care
MS,MORGAN STANLEY,Financials
AMAT,APPLIED MATERIAL INC,Information Technology
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary
NOW,SERVICENOW INC,Information Technology
LMT,LOCKHEED MARTIN CORP,Industrials
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples
BLK,BLACKROCK INC,Financials
GILD,GILEAD SCIENCES INC,Health Care
DE,DEERE,Industrials
ADI,ANALOG DEVICES INC,Information Technology
SYK,STRYKER CORP,Health Care
AXP,AMERICAN EXPRESS,Financials
TJX,TJX INC,Consumer Discretionary
ADP,AUTOMATIC DATA PROCESSING INC,Industrials
AMT,AMERICAN TOWER REIT CORP,Real Estate
CVS,CVS HEALTH CORP,Health Care
MMC,MARSH & MCLENNAN INC,Financials
XTSLA,BLK CSH FND TREASURY SL AGENCY,Cash and/or Derivatives
C,CITIGROUP INC,Financials
VRTX,VERTEX PHARMACEUTICALS INC,Health Care
TMUS,T MOBILE US INC,Communication
ZTS,ZOETIS INC CLASS A,Health Care
CB,CHUBB LTD,Financials
REGN,REGENERON PHARMACEUTICALS INC,Health Care
MO,ALTRIA GROUP INC,Consumer Staples
SCHW,CHARLES SCHWAB CORP,Financials
PGR,PROGRESSIVE CORP,Financials
LRCX,LAM RESEARCH CORP,Information Technology
UBER,UBER TECHNOLOGIES INC,Industrials
SO,SOUTHERN,Utilities
BSX,BOSTON SCIENTIFIC CORP,Health Care
CI,CIGNA,Health Care
FISV,FISERV INC,Financials
MU,MICRON TECHNOLOGY INC,Information Technology
PYPL,PAYPAL HOLDINGS INC,Financials
BDX,BECTON DICKINSON,Health Care
DUK,DUKE ENERGY CORP,Utilities
ETN,EATON PLC,Industrials
TGT,TARGET CORP,Consumer Staples
AON,AON PLC CLASS A,Financials
EQIX,EQUINIX REIT INC,Real Estate
EOG,EOG RESOURCES INC,Energy
CSX,CSX CORP,Industrials
CME,CME GROUP INC CLASS A,Financials
SLB,SCHLUMBERGER NV,Energy
CL,COLGATE-PALMOLIVE,Consumer Staples
HUM,HUMANA INC,Health Care
NOC,NORTHROP GRUMMAN CORP,Industrials
ITW,ILLINOIS TOOL INC,Industrials
SNPS,SYNOPSYS INC,Information Technology
ICE,INTERCONTINENTAL EXCHANGE INC,Financials
WM,WASTE MANAGEMENT INC,Industrials
APD,AIR PRODUCTS AND CHEMICALS INC,Materials
BX,BLACKSTONE INC,Financials
HCA,HCA HEALTHCARE INC,Health Care
PANW,PALO ALTO NETWORKS INC,Information Technology
KLAC,KLA CORP,Information Technology
CMG,CHIPOTLE MEXICAN GRILL INC,Consumer Discretionary
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary
ATVI,ACTIVISION BLIZZARD INC,Communication
MMM,3M,Industrials
EW,EDWARDS LIFESCIENCES CORP,Health Care
SHW,SHERWIN WILLIAMS,Materials
MCK,MCKESSON CORP,Health Care
FDX,FEDEX CORP,Industrials
SNOW,SNOWFLAKE CLASS A,Information Technology
FCX,FREEPORT MCMORAN INC,Materials
MCO,MOODYS CORP,Financials
NSC,NORFOLK SOUTHERN CORP,Industrials
GIS,GENERAL MILLS INC,Consumer Staples
PXD,PIONEER NATURAL RESOURCE,Energy
MPC,MARATHON PETROLEUM CORP,Energy
CCI,CROWN CASTLE INC,Real Estate
AZO,AUTOZONE INC,Consumer Discretionary
MSI,MOTOROLA SOLUTIONS INC,Information Technology
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials
USD,USD CASH,Cash and/or Derivatives
ROP,ROPER TECHNOLOGIES INC,Information Technology
GD,GENERAL DYNAMICS CORP,Industrials
DG,DOLLAR GENERAL CORP,Consumer Staples
KMB,KIMBERLY CLARK CORP,Consumer Staples
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary
EMR,EMERSON ELECTRIC,Industrials
DXCM,DEXCOM INC,Health Care
GM,GENERAL MOTORS,Consumer Discretionary
SRE,SEMPRA,Utilities
NXPI,NXP SEMICONDUCTORS NV,Information Technology
EL,ESTEE LAUDER INC CLASS A,Consumer Staples
F,FORD MOTOR CO,Consumer Discretionary
AJG,ARTHUR J GALLAGHER,Financials
FTNT,FORTINET INC,Information Technology
MNST,MONSTER BEVERAGE CORP,Consumer Staples
APH,AMPHENOL CORP CLASS A,Information Technology
PSA,PUBLIC STORAGE REIT,Real Estate
AEP,AMERICAN ELECTRIC POWER INC,Utilities
PSX,PHILLIPS,Energy
BIIB,BIOGEN INC,Health Care
ADSK,AUTODESK INC,Information Technology
D,DOMINION ENERGY INC,Utilities
ABNB,AIRBNB INC CLASS A,Consumer Discretionary
USB,US BANCORP,Financials
VLO,VALERO ENERGY CORP,Energy
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials
ECL,ECOLAB INC,Materials
TRV,TRAVELERS COMPANIES INC,Financials
OXY,OCCIDENTAL PETROLEUM CORP,Energy
PH,PARKER-HANNIFIN CORP,Industrials
LULU,LULULEMON ATHLETICA INC,Consumer Discretionary
TDG,TRANSDIGM GROUP INC,Industrials
MRNA,MODERNA INC,Health Care
TFC,TRUIST FINANCIAL CORP,Financials
CTAS,CINTAS CORP,Industrials
CTVA,CORTEVA INC,Materials
IDXX,IDEXX LABORATORIES INC,Health Care
AIG,AMERICAN INTERNATIONAL GROUP INC,Financials
ADM,ARCHER DANIELS MIDLAND,Consumer Staples
MRVL,MARVELL TECHNOLOGY INC,Information Technology
EXC,EXELON CORP,Utilities
WDAY,WORKDAY INC CLASS A,Information Technology
TT,TRANE TECHNOLOGIES PLC,Industrials
TEL,TE CONNECTIVITY LTD,Information Technology
A,AGILENT TECHNOLOGIES INC,Health Care
STZ,CONSTELLATION BRANDS INC CLASS A,Consumer Staples
HLT,HILTON WORLDWIDE HOLDINGS INC,Consumer Discretionary
HSY,HERSHEY FOODS,Consumer Staples
CPRT,COPART INC,Industrials
MSCI,MSCI INC,Financials
COF,CAPITAL ONE FINANCIAL CORP,Financials
IQV,IQVIA HOLDINGS INC,Health Care
O,REALTY INCOME REIT CORP,Real Estate
PCAR,PACCAR INC,Industrials
YUM,YUM BRANDS INC,Consumer Discretionary
AFL,AFLAC INC,Financials
HES,HESS CORP,Energy
ON,ON SEMICONDUCTOR CORP,Information Technology
SYY,SYSCO CORP,Consumer Staples
DOW,DOW INC,Materials
CNC,CENTENE CORP,Health Care
WELL,WELLTOWER INC,Real Estate
CHTR,CHARTER COMMUNICATIONS INC CLASS A,Communication
ROST,ROSS STORES INC,Consumer Discretionary
XEL,XCEL ENERGY INC,Utilities
WMB,WILLIAMS INC,Energy
LNG,CHENIERE ENERGY INC,Energy
ANET,ARISTA NETWORKS INC,Information Technology
LHX,L3HARRIS TECHNOLOGIES INC,Industrials
CARR,CARRIER GLOBAL CORP,Industrials
PAYX,PAYCHEX INC,Industrials
NUE,NUCOR CORP,Materials
MET,METLIFE INC,Financials
AME,AMETEK INC,Industrials
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate
OTIS,OTIS WORLDWIDE CORP,Industrials
NEM,NEWMONT,Materials
FIS,FIDELITY NATIONAL INFORMATION SERV,Financials
VRSK,VERISK ANALYTICS INC,Industrials
DHI,D R HORTON INC,Consumer Discretionary
ED,CONSOLIDATED EDISON INC,Utilities
DLTR,DOLLAR TREE INC,Consumer Staples
ILMN,ILLUMINA INC,Health Care
RMD,RESMED INC,Health Care
PPG,PPG INDUSTRIES INC,Materials
VICI,VICI PPTYS INC,Real Estate
KMI,KINDER MORGAN INC,Energy
CTSH,COGNIZANT TECHNOLOGY SOLUTIONS COR,Information Technology
EA,ELECTRONIC ARTS INC,Communication
SQ,BLOCK INC CLASS A,Financials
CSGP,COSTAR GROUP INC,Industrials
KR,KROGER,Consumer Staples
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology
DVN,DEVON ENERGY CORP,Energy
ROK,ROCKWELL AUTOMATION INC,Industrials
AMP,AMERIPRISE FINANCE INC,Financials
CMI,CUMMINS INC,Industrials
FERG,FERGUSON PLC,Industrials
FAST,FASTENAL,Industrials
ALL,ALLSTATE CORP,Financials
PEG,PUBLIC SERVICE ENTERPRISE GROUP IN,Utilities
MTD,METTLER TOLEDO INC,Health Care
DD,DUPONT DE NEMOURS INC,Materials
TTD,TRADE DESK INC CLASS A,Communication
KHC,KRAFT HEINZ,Consumer Staples
BK,BANK OF NEW YORK MELLON CORP,Financials
PRU,PRUDENTIAL FINANCIAL INC,Financials
GWW,WW GRAINGER INC,Industrials
KKR,KKR AND CO INC,Financials
RSG,REPUBLIC SERVICES INC,Industrials
APO,APOLLO GLOBAL MANAGEMENT INC,Financials
GEHC,GE HEALTHCARE TECHNOLOGIES,Health Care
BKR,BAKER HUGHES CLASS A,Energy
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care
KEYS,KEYSIGHT TECHNOLOGIES INC,Information Technology
WEC,WEC ENERGY GROUP INC,Utilities
KDP,KEURIG DR PEPPER INC,Consumer Staples
AWK,AMERICAN WATER WORKS INC,Utilities
LEN,LENNAR A CORP,Consumer Discretionary
ABC,AMERISOURCEBERGEN CORP,Health Care
HAL,HALLIBURTON,Energy
GPN,GLOBAL PAYMENTS INC,Financials
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials
DFS,DISCOVER FINANCIAL SERVICES,Financials
ACGL,ARCH CAPITAL GROUP LTD,Financials
CEG,CONSTELLATION ENERGY CORP,Utilities
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication
PCG,PG&E CORP,Utilities
HPQ,HP INC,Information Technology
ANSS,ANSYS INC,Information Technology
SGEN,SEAGEN INC,Health Care
OKE,ONEOK INC,Energy
EFX,EQUIFAX INC,Industrials
DLR,DIGITAL REALTY TRUST REIT INC,Real Estate
VMC,VULCAN MATERIALS,Materials
IT,GARTNER INC,Information Technology
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care
VMW,VMWARE CLASS A INC,Information Technology
EIX,EDISON INTERNATIONAL,Utilities
APTV,APTIV PLC,Consumer Discretionary
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate
MLM,MARTIN MARIETTA MATERIALS INC,Materials
ES,EVERSOURCE ENERGY,Utilities
AVB,AVALONBAY COMMUNITIES REIT INC,Real Estate
WTW,WILLIS TOWERS WATSON PLC,Financials
CBRE,CBRE GROUP INC CLASS A,Real Estate
TSCO,TRACTOR SUPPLY,Consumer Discretionary
ULTA,ULTA BEAUTY INC,Consumer Discretionary
IR,INGERSOLL RAND INC,Industrials
HUBS,HUBSPOT INC,Information Technology
ALB,ALBEMARLE CORP,Materials
PWR,QUANTA SERVICES INC,Industrials
FANG,DIAMONDBACK ENERGY INC,Energy
TROW,T ROWE PRICE GROUP INC,Financials
STT,STATE STREET CORP,Financials
EBAY,EBAY INC,Consumer Discretionary
GLW,CORNING INC,Information Technology
URI,UNITED RENTALS INC,Industrials
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care
TEAM,ATLASSIAN CORP CLASS A,Information Technology
CDW,CDW CORP,Information Technology
DDOG,DATADOG INC CLASS A,Information Technology
VEEV,VEEVA SYSTEMS INC CLASS A,Health Care
FTV,FORTIVE CORP,Industrials
CHD,CHURCH AND DWIGHT INC,Consumer Staples
LYB,LYONDELLBASELL INDUSTRIES NV CLASS,Materials
GPC,GENUINE PARTS,Consumer Discretionary
HZNP,HORIZON THERAPEUTICS PUBLIC PLC,Health Care
DAL,DELTA AIR LINES INC,Industrials
HIG,HARTFORD FINANCIAL SERVICES GROUP,Financials
MKC,MCCORMICK & CO NON-VOTING INC,Consumer Staples
WBA,WALGREEN BOOTS ALLIANCE INC,Consumer Staples
ENPH,ENPHASE ENERGY INC,Information Technology
CAH,CARDINAL HEALTH INC,Health Care
ALGN,ALIGN TECHNOLOGY INC,Health Care
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication
BAX,BAXTER INTERNATIONAL INC,Health Care
AEE,AMEREN CORP,Utilities
WY,WEYERHAEUSER REIT,Real Estate
IFF,INTERNATIONAL FLAVORS & FRAGRANCES,Materials
EQR,EQUITY RESIDENTIAL REIT,Real Estate
PODD,INSULET CORP,Health Care
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology
MTB,M&T BANK CORP,Financials
DTE,DTE ENERGY,Utilities
STE,STERIS,Health Care
VRSN,VERISIGN INC,Information Technology
FE,FIRSTENERGY CORP,Utilities
CTRA,COTERRA ENERGY INC,Energy
ETR,ENTERGY CORP,Utilities
PPL,PPL CORP,Utilities
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology
CLX,CLOROX,Consumer Staples
FSLR,FIRST SOLAR INC,Information Technology
HOLX,HOLOGIC INC,Health Care
TDY,TELEDYNE TECHNOLOGIES INC,Information Technology
EXR,EXTRA SPACE STORAGE REIT INC,Real Estate
INVH,INVITATION HOMES INC,Real Estate
DRI,DARDEN RESTAURANTS INC,Consumer Discretionary
MDB,MONGODB INC CLASS A,Information Technology
LVS,LAS VEGAS SANDS CORP,Consumer Discretionary
COO,COOPER INC,Health Care
DOV,DOVER CORP,Industrials
LH,LABORATORY CORPORATION OF AMERICA,Health Care

