================================================================================
ULTIMATE HIGH PROBABILITY SCANNER - RESULTS
================================================================================
Scan Date: 2026-02-15 08:30:51

STRATEGY CRITERIA:
  1. Jimmy Squeeze Channel PRINTING on scan day (EMA5/26 within ATR distance)
  2. EFI oversold (MAROON or ORANGE - histogram below 0)
  3. Normalized price > 0 (Close above 68 EMA - DIVERGENCE setup)
  (Fader color shown for reference - RED or GREEN both accepted)

QUALITY SCORE:
  Based on consolidation duration, oversold level, EFI strength, volume
  Higher score = higher probability setup

Total High Probability Setups Found: 154
================================================================================

TOP HIGH PROBABILITY SETUPS (sorted by quality score):
--------------------------------------------------------------------------------
Ticker   Score   Days   Range    Pos%   Norm    EFI      Fader   Vol  
RAVE     20      2      4.6%     75%    0.14    ORANGE   RED     0.9x 
BNED     19      3      4.1%     60%    0.09    ORANGE   RED     0.7x 
CABA     19      2      6.9%     59%    0.11    ORANGE   RED     0.6x 
HYLN     18      6      5.4%     13%    0.01    ORANGE   RED     0.8x 
OLPX     18      2      4.7%     21%    0.09    ORANGE   RED     0.7x 
QRHC     18      3      6.2%     16%    0.07    ORANGE   RED     0.4x 
AHH      17      1      1.9%     22%    0.07    ORANGE   RED     0.6x 
VYNE     17      2      6.1%     60%    0.04    ORANGE   RED     0.4x 
AIV      17      3      1.4%     -10%   0.02    ORANGE   RED     0.6x 
FATE     17      3      6.9%     53%    0.01    ORANGE   RED     0.8x 
OPTT     17      3      9.5%     48%    0.01    ORANGE   RED     0.2x 
RMTI     17      2      6.5%     78%    0.03    ORANGE   RED     0.2x 
XPL      17      1      5.0%     83%    0.04    ORANGE   RED     0.5x 
BBIG     16      2      46.6%    37%    0.00    ORANGE   RED     0.0x 

================================================================================
DETAILED SIGNALS:
================================================================================

SIGNAL #1 - CMPR - Quality Score: 79/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $74.27
  Consolidation:       8 days
  Range:               $74.57 - $77.19 (3.5%)
  Position in Range:   -11% (lower third = buy zone)
  Normalized Price:    1.62 (DIVERGENCE)
  Force Index:         -4.05 (MAROON)
  Fader Signal:        RED
  Volume:              1.9x average

  SETUP: CMPR consolidating for 8 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 79/100

SIGNAL #2 - RPT - Quality Score: 76/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $14.71
  Consolidation:       3 days
  Range:               $14.84 - $15.23 (2.6%)
  Position in Range:   -34% (lower third = buy zone)
  Normalized Price:    3.14 (DIVERGENCE)
  Force Index:         -1.46 (MAROON)
  Fader Signal:        RED
  Volume:              2.9x average

  SETUP: RPT consolidating for 3 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 76/100

SIGNAL #3 - REVG - Quality Score: 76/100
--------------------------------------------------------------------------------
  Date:                01/30/2026
  Current Price:       $63.90
  Consolidation:       1 days
  Range:               $64.24 - $65.70 (2.3%)
  Position in Range:   -23% (lower third = buy zone)
  Normalized Price:    2.95 (DIVERGENCE)
  Force Index:         -5.04 (MAROON)
  Fader Signal:        RED
  Volume:              2.4x average

  SETUP: REVG consolidating for 1 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 76/100

SIGNAL #4 - CUBI - Quality Score: 73/100
--------------------------------------------------------------------------------
  Date:                02/06/2026
  Current Price:       $76.28
  Consolidation:       2 days
  Range:               $76.02 - $77.96 (2.6%)
  Position in Range:   13% (lower third = buy zone)
  Normalized Price:    2.50 (DIVERGENCE)
  Force Index:         -2.88 (MAROON)
  Fader Signal:        RED
  Volume:              1.4x average

  SETUP: CUBI consolidating for 2 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 73/100

SIGNAL #5 - CHRW - Quality Score: 66/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $176.01
  Consolidation:       1 days
  Range:               $181.65 - $185.67 (2.2%)
  Position in Range:   -140% (lower third = buy zone)
  Normalized Price:    7.01 (DIVERGENCE)
  Force Index:         -25.29 (ORANGE)
  Fader Signal:        RED
  Volume:              2.1x average

  SETUP: CHRW consolidating for 1 days,
         DIVERGENCE: EFI oversold (ORANGE) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 66/100

SIGNAL #6 - TNL - Quality Score: 65/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $70.84
  Consolidation:       1 days
  Range:               $70.91 - $72.36 (2.0%)
  Position in Range:   -5% (lower third = buy zone)
  Normalized Price:    1.39 (DIVERGENCE)
  Force Index:         -2.19 (MAROON)
  Fader Signal:        GREEN
  Volume:              1.3x average

  SETUP: TNL consolidating for 1 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 65/100

SIGNAL #7 - BHF - Quality Score: 65/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $63.84
  Consolidation:       30 days
  Range:               $63.69 - $64.43 (1.2%)
  Position in Range:   20% (lower third = buy zone)
  Normalized Price:    1.35 (DIVERGENCE)
  Force Index:         -0.25 (MAROON)
  Fader Signal:        RED
  Volume:              0.8x average

  SETUP: BHF consolidating for 30 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 65/100

SIGNAL #8 - ACET - Quality Score: 65/100
--------------------------------------------------------------------------------
  Date:                02/06/2026
  Current Price:       $7.03
  Consolidation:       2 days
  Range:               $7.19 - $7.48 (4.1%)
  Position in Range:   -54% (lower third = buy zone)
  Normalized Price:    1.80 (DIVERGENCE)
  Force Index:         -1.39 (ORANGE)
  Fader Signal:        RED
  Volume:              1.5x average

  SETUP: ACET consolidating for 2 days,
         DIVERGENCE: EFI oversold (ORANGE) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 65/100

SIGNAL #9 - VSEC - Quality Score: 62/100
--------------------------------------------------------------------------------
  Date:                02/06/2026
  Current Price:       $199.99
  Consolidation:       4 days
  Range:               $196.10 - $202.22 (3.1%)
  Position in Range:   64% (lower third = buy zone)
  Normalized Price:    12.55 (DIVERGENCE)
  Force Index:         -2.81 (ORANGE)
  Fader Signal:        RED
  Volume:              1.4x average

  SETUP: VSEC consolidating for 4 days,
         DIVERGENCE: EFI oversold (ORANGE) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 62/100

SIGNAL #10 - GES - Quality Score: 61/100
--------------------------------------------------------------------------------
  Date:                01/22/2026
  Current Price:       $16.81
  Consolidation:       14 days
  Range:               $16.77 - $16.88 (0.7%)
  Position in Range:   38% (lower third = buy zone)
  Normalized Price:    0.15 (DIVERGENCE)
  Force Index:         -0.02 (MAROON)
  Fader Signal:        GREEN
  Volume:              23.6x average

  SETUP: GES consolidating for 14 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 61/100

SIGNAL #11 - ORA - Quality Score: 60/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $118.19
  Consolidation:       2 days
  Range:               $120.16 - $122.64 (2.1%)
  Position in Range:   -80% (lower third = buy zone)
  Normalized Price:    2.38 (DIVERGENCE)
  Force Index:         -9.35 (MAROON)
  Fader Signal:        RED
  Volume:              1.2x average

  SETUP: ORA consolidating for 2 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 60/100

SIGNAL #12 - GTLS - Quality Score: 58/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $206.77
  Consolidation:       4 days
  Range:               $206.54 - $207.31 (0.4%)
  Position in Range:   30% (lower third = buy zone)
  Normalized Price:    1.93 (DIVERGENCE)
  Force Index:         -0.67 (ORANGE)
  Fader Signal:        RED
  Volume:              1.3x average

  SETUP: GTLS consolidating for 4 days,
         DIVERGENCE: EFI oversold (ORANGE) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 58/100

SIGNAL #13 - TXRH - Quality Score: 57/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $180.90
  Consolidation:       3 days
  Range:               $181.69 - $185.21 (1.9%)
  Position in Range:   -22% (lower third = buy zone)
  Normalized Price:    2.21 (DIVERGENCE)
  Force Index:         -7.22 (MAROON)
  Fader Signal:        RED
  Volume:              1.1x average

  SETUP: TXRH consolidating for 3 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 57/100

SIGNAL #14 - COGT - Quality Score: 56/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $36.53
  Consolidation:       12 days
  Range:               $36.51 - $37.93 (3.9%)
  Position in Range:   1% (lower third = buy zone)
  Normalized Price:    2.43 (DIVERGENCE)
  Force Index:         -1.40 (MAROON)
  Fader Signal:        RED
  Volume:              0.5x average

  SETUP: COGT consolidating for 12 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 56/100

SIGNAL #15 - CBL - Quality Score: 56/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $35.05
  Consolidation:       10 days
  Range:               $35.74 - $36.41 (1.9%)
  Position in Range:   -104% (lower third = buy zone)
  Normalized Price:    0.04 (DIVERGENCE)
  Force Index:         -1.98 (MAROON)
  Fader Signal:        RED
  Volume:              2.0x average

  SETUP: CBL consolidating for 10 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 56/100

SIGNAL #16 - ALV - Quality Score: 56/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $124.98
  Consolidation:       11 days
  Range:               $123.58 - $125.71 (1.7%)
  Position in Range:   66% (lower third = buy zone)
  Normalized Price:    2.24 (DIVERGENCE)
  Force Index:         -0.18 (MAROON)
  Fader Signal:        RED
  Volume:              0.6x average

  SETUP: ALV consolidating for 11 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 56/100

SIGNAL #17 - BRBS - Quality Score: 55/100
--------------------------------------------------------------------------------
  Date:                02/06/2026
  Current Price:       $4.30
  Consolidation:       11 days
  Range:               $4.28 - $4.37 (2.1%)
  Position in Range:   21% (lower third = buy zone)
  Normalized Price:    0.03 (DIVERGENCE)
  Force Index:         -0.05 (MAROON)
  Fader Signal:        RED
  Volume:              1.5x average

  SETUP: BRBS consolidating for 11 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 55/100

SIGNAL #18 - UTHR - Quality Score: 54/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $473.66
  Consolidation:       9 days
  Range:               $473.01 - $482.28 (2.0%)
  Position in Range:   7% (lower third = buy zone)
  Normalized Price:    3.77 (DIVERGENCE)
  Force Index:         -4.74 (MAROON)
  Fader Signal:        GREEN
  Volume:              0.8x average

  SETUP: UTHR consolidating for 9 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 54/100

SIGNAL #19 - SNDX - Quality Score: 54/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $20.48
  Consolidation:       2 days
  Range:               $20.42 - $21.22 (3.9%)
  Position in Range:   8% (lower third = buy zone)
  Normalized Price:    0.82 (DIVERGENCE)
  Force Index:         -1.01 (MAROON)
  Fader Signal:        RED
  Volume:              1.1x average

  SETUP: SNDX consolidating for 2 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 54/100

SIGNAL #20 - USD - Quality Score: 52/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $55.27
  Consolidation:       5 days
  Range:               $54.58 - $57.03 (4.5%)
  Position in Range:   28% (lower third = buy zone)
  Normalized Price:    1.16 (DIVERGENCE)
  Force Index:         -1.89 (MAROON)
  Fader Signal:        RED
  Volume:              0.7x average

  SETUP: USD consolidating for 5 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 52/100

SIGNAL #21 - BCOW - Quality Score: 51/100
--------------------------------------------------------------------------------
  Date:                02/06/2026
  Current Price:       $11.02
  Consolidation:       1 days
  Range:               $11.02 - $11.09 (0.7%)
  Position in Range:   -1% (lower third = buy zone)
  Normalized Price:    0.04 (DIVERGENCE)
  Force Index:         -0.05 (MAROON)
  Fader Signal:        RED
  Volume:              1.9x average

  SETUP: BCOW consolidating for 1 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 51/100

SIGNAL #22 - SBCF - Quality Score: 51/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $33.23
  Consolidation:       2 days
  Range:               $33.28 - $33.98 (2.1%)
  Position in Range:   -7% (lower third = buy zone)
  Normalized Price:    0.62 (DIVERGENCE)
  Force Index:         -1.47 (MAROON)
  Fader Signal:        RED
  Volume:              1.2x average

  SETUP: SBCF consolidating for 2 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 51/100

SIGNAL #23 - LEG - Quality Score: 51/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $11.73
  Consolidation:       2 days
  Range:               $11.92 - $12.23 (2.6%)
  Position in Range:   -61% (lower third = buy zone)
  Normalized Price:    0.40 (DIVERGENCE)
  Force Index:         -1.01 (ORANGE)
  Fader Signal:        RED
  Volume:              1.6x average

  SETUP: LEG consolidating for 2 days,
         DIVERGENCE: EFI oversold (ORANGE) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 51/100

SIGNAL #24 - AXL - Quality Score: 51/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $7.25
  Consolidation:       1 days
  Range:               $7.81 - $8.09 (3.6%)
  Position in Range:   -199% (lower third = buy zone)
  Normalized Price:    0.00 (DIVERGENCE)
  Force Index:         -2.01 (MAROON)
  Fader Signal:        RED
  Volume:              2.3x average

  SETUP: AXL consolidating for 1 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 51/100

SIGNAL #25 - BTU - Quality Score: 50/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $34.45
  Consolidation:       1 days
  Range:               $34.31 - $35.67 (4.0%)
  Position in Range:   10% (lower third = buy zone)
  Normalized Price:    2.30 (DIVERGENCE)
  Force Index:         -2.57 (MAROON)
  Fader Signal:        RED
  Volume:              1.0x average

  SETUP: BTU consolidating for 1 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 50/100

SIGNAL #26 - DAL - Quality Score: 50/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $69.00
  Consolidation:       1 days
  Range:               $69.10 - $70.90 (2.6%)
  Position in Range:   -5% (lower third = buy zone)
  Normalized Price:    1.61 (DIVERGENCE)
  Force Index:         -3.52 (MAROON)
  Fader Signal:        RED
  Volume:              0.8x average

  SETUP: DAL consolidating for 1 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 50/100

SIGNAL #27 - FBK - Quality Score: 50/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $59.00
  Consolidation:       1 days
  Range:               $58.49 - $59.69 (2.0%)
  Position in Range:   43% (lower third = buy zone)
  Normalized Price:    1.47 (DIVERGENCE)
  Force Index:         -1.28 (MAROON)
  Fader Signal:        RED
  Volume:              0.6x average

  SETUP: FBK consolidating for 1 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 50/100

SIGNAL #28 - FBRX - Quality Score: 50/100
--------------------------------------------------------------------------------
  Date:                02/06/2026
  Current Price:       $27.59
  Consolidation:       1 days
  Range:               $28.51 - $30.60 (7.3%)
  Position in Range:   -44% (lower third = buy zone)
  Normalized Price:    2.84 (DIVERGENCE)
  Force Index:         -6.74 (MAROON)
  Fader Signal:        RED
  Volume:              0.7x average

  SETUP: FBRX consolidating for 1 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 50/100

SIGNAL #29 - HLF - Quality Score: 50/100
--------------------------------------------------------------------------------
  Date:                02/13/2026
  Current Price:       $15.90
  Consolidation:       1 days
  Range:               $15.89 - $16.33 (2.8%)
  Position in Range:   3% (lower third = buy zone)
  Normalized Price:    1.68 (DIVERGENCE)
  Force Index:         -1.29 (MAROON)
  Fader Signal:        RED
  Volume:              0.9x average

