================================================================================
ULTIMATE HIGH PROBABILITY SCANNER - $0-20 PRICE RANGE
================================================================================
Scan Date: 2026-01-25 21:39:41

STRATEGY CRITERIA:
  1. Price between $0 - $20
  2. Channel consolidation detected (any duration)
  3. EFI oversold (MAROON or ORANGE - histogram below 0)
  4. Normalized price > 0 (Close above 68 EMA - DIVERGENCE setup)
  (Fader color shown for reference - RED or GREEN both accepted)

QUALITY SCORE:
  Based on consolidation duration, oversold level, EFI strength, volume
  Higher score = higher probability setup

Total High Probability Setups Found: 139
================================================================================

TOP HIGH PROBABILITY SETUPS (sorted by quality score):
--------------------------------------------------------------------------------
Ticker   Score   Days   Range    Pos%   Norm    EFI      Fader   Vol 
MXL      60      20     19.9   % 30   % 1.08    MAROON   GREEN   0.9x
NRGV     60      20     44.0   % 53   % 1.05    MAROON   GREEN   0.9x
NRIX     60      20     18.9   % 49   % 2.08    MAROON   GREEN   0.8x
OMER     60      20     53.2   % 7    % 1.47    MAROON   RED     0.3x
PTN      60      20     47.6   % 42   % 1.20    MAROON   GREEN   0.3x
RAIL     60      20     14.5   % 36   % 1.01    MAROON   RED     0.5x
SHC      60      20     14.4   % 46   % 1.22    MAROON   RED     0.8x
TWIN     60      20     28.8   % 58   % 1.54    MAROON   GREEN   0.5x
WVE      60      20     47.5   % 4    % 1.01    MAROON   RED     0.6x
BWB      55      20     12.5   % 46   % 0.55    MAROON   GREEN   1.1x
DBI      55      20     22.4   % 8    % 0.83    MAROON   RED     0.6x
KRNY     55      20     17.1   % 44   % 0.54    MAROON   GREEN   1.1x
MAC      54      20     8.0    % 44   % 0.43    MAROON   RED     1.2x
EBS      52      20     32.6   % 39   % 0.69    MAROON   RED     0.6x
QNCX     52      20     46.5   % 44   % 0.24    MAROON   GREEN   1.2x
HBI      51      20     6.4    % 41   % 0.07    ORANGE   RED     8.1x
VLY      51      20     9.9    % 32   % 0.51    MAROON   GREEN   1.1x
APVO     50      20     144.4  % 12   % 2.89    ORANGE   RED     0.0x
CYRX     50      20     21.8   % 48   % 0.63    MAROON   GREEN   1.0x
HCSG     50      20     19.1   % 67   % 0.61    MAROON   GREEN   0.7x
PASG     50      20     109.2  % 29   % 1.55    ORANGE   RED     0.9x
SVRA     50      20     20.9   % 48   % 0.63    MAROON   GREEN   0.8x
MITT     49      20     11.8   % 57   % 0.57    MAROON   GREEN   0.6x
NXTC     49      20     32.7   % 24   % 0.59    MAROON   RED     0.7x
JAMF     48      20     0.3    % 22   % 0.53    MAROON   RED     0.5x
NAII     48      20     57.5   % 55   % 0.53    MAROON   RED     0.9x
SEM      48      20     5.7    % 60   % 0.54    MAROON   GREEN   0.8x
SWBI     48      20     12.5   % 58   % 0.67    ORANGE   GREEN   1.1x
UMH      48      20     6.1    % 42   % 0.53    MAROON   RED     0.9x
IBIO     47      20     70.0   % 46   % 0.50    MAROON   GREEN   0.2x
NVFY     47      20     12.9   % 52   % 0.48    MAROON   RED     0.8x
PDLB     47      20     10.5   % 54   % 0.51    MAROON   GREEN   0.8x
BALY     46      20     14.5   % 42   % 0.46    MAROON   RED     0.6x
KVHI     46      20     16.5   % 35   % 0.44    MAROON   RED     0.9x
UNIT     46      20     27.1   % 44   % 0.46    MAROON   GREEN   0.5x
F        45      20     11.0   % 35   % 0.43    MAROON   RED     0.8x
FSEA     45      20     6.4    % 42   % 0.43    MAROON   RED     0.3x
HLMN     45      20     18.9   % 70   % 0.42    MAROON   GREEN   0.6x
KW       45      20     6.2    % 51   % 0.42    MAROON   RED     0.7x
OWLT     45      20     34.2   % 8    % 0.22    MAROON   RED     1.1x
SCS      45      20     6.9    % 65   % 0.30    ORANGE   GREEN   1.3x
ASUR     44      20     15.5   % 26   % 0.29    MAROON   RED     1.1x
ATHA     44      20     34.0   % 1    % 0.38    MAROON   RED     0.3x
KRMD     44      20     28.8   % 32   % 0.38    MAROON   RED     0.5x
PETS     44      20     18.2   % 33   % 0.38    MAROON   GREEN   0.4x
SBH      44      20     27.7   % 35   % 0.38    MAROON   GREEN   0.9x
PPSI     43      20     40.3   % 54   % 0.33    MAROON   RED     0.8x
VTLE     43      20     25.0   % 61   % 0.74    ORANGE   RED     0.0x
COMM     42      20     16.5   % 28   % 0.30    MAROON   RED     0.6x
CPIX     42      20     43.1   % 10   % 0.30    MAROON   RED     1.0x
CTKB     42      20     23.4   % 33   % 0.31    MAROON   RED     0.9x
EVC      42      20     19.4   % 60   % 0.32    MAROON   GREEN   0.6x
FNB      42      20     8.5    % 17   % 0.28    MAROON   GREEN   0.9x
AAL      41      20     12.6   % 1    % 0.24    MAROON   RED     0.7x
ACEL     41      20     7.3    % 29   % 0.25    MAROON   RED     0.6x
AOUT     41      20     30.6   % 35   % 0.25    MAROON   RED     0.7x
ARMP     41      20     40.5   % 15   % 0.26    MAROON   RED     0.6x
MCS      41      20     9.8    % 59   % 0.24    MAROON   GREEN   0.9x
AEVA     40      20     83.9   % 34   % 0.22    MAROON   RED     1.0x
BWEN     40      20     48.7   % 32   % 0.23    MAROON   RED     0.5x
EWCZ     40      20     33.3   % 48   % 0.02    MAROON   GREEN   1.1x
MRVI     40      20     28.7   % 57   % 0.23    MAROON   GREEN   0.5x
NVCR     40      20     18.4   % 28   % 0.23    MAROON   RED     0.8x
XPOF     40      20     14.2   % 21   % 0.22    MAROON   RED     0.6x
ZDGE     40      20     26.1   % 38   % 0.23    MAROON   RED     0.4x
ACCO     39      20     14.3   % 58   % 0.17    MAROON   GREEN   0.7x
AHCO     39      20     14.6   % 40   % 0.17    MAROON   RED     0.8x
ATXS     39      20     8.5    % 33   % 0.60    ORANGE   RED     0.0x
CWK      39      20     10.7   % 29   % 0.19    MAROON   RED     0.9x
HLLY     39      20     12.6   % 35   % 0.17    MAROON   RED     0.5x
ICCC     39      20     22.8   % 35   % 0.19    MAROON   RED     0.7x
INSE     39      20     12.5   % 22   % 0.20    MAROON   RED     0.6x
OLPX     39      20     44.8   % 51   % 0.19    MAROON   GREEN   0.3x
RLAY     39      20     25.0   % 24   % 0.16    MAROON   RED     1.0x
TNDM     39      20     22.1   % 7    % 0.19    MAROON   RED     1.0x
AIV      38      20     3.6    % 33   % 0.13    MAROON   RED     0.8x
BFIN     38      20     16.9   % 46   % 0.14    MAROON   RED     0.0x
BHR      38      20     15.5   % 37   % 0.14    MAROON   GREEN   0.6x
CFFN     38      20     9.2    % 37   % 0.13    MAROON   GREEN   0.8x
CRNC     38      20     22.4   % 33   % 0.15    MAROON   RED     0.6x
CTO      38      20     5.4    % 33   % 0.53    ORANGE   RED     1.0x
FBIO     38      20     39.4   % 12   % 0.13    MAROON   RED     0.4x
IDN      38      20     18.9   % 13   % 0.01    MAROON   RED     1.1x
KOPN     38      20     56.1   % 45   % 0.15    MAROON   GREEN   0.9x
RLJ      38      20     8.4    % 35   % 0.13    MAROON   GREEN   0.8x
SBRA     38      20     8.0    % 32   % 0.01    MAROON   RED     1.1x
SSP      38      20     22.5   % 16   % 0.13    MAROON   RED     0.9x
CCO      37      20     15.3   % 30   % 0.11    MAROON   RED     0.6x
CTLP     37      20     3.6    % 63   % 0.10    MAROON   GREEN   0.8x
LADR     37      20     7.7    % 63   % 0.10    MAROON   GREEN   0.7x
PACK     37      20     16.8   % 17   % 0.08    MAROON   RED     0.8x
PRLD     37      20     70.0   % 21   % 0.11    MAROON   RED     0.4x
TRTX     37      20     8.3    % 54   % 0.06    MAROON   GREEN   1.0x
BRBS     36      20     8.0    % 55   % 0.08    MAROON   GREEN   0.7x
PLBY     36      20     17.2   % 30   % 0.06    MAROON   RED     0.7x
PNBK     36      20     25.3   % 24   % 0.06    MAROON   RED     0.6x
SFIX     36      20     20.6   % 24   % 0.07    MAROON   RED     0.8x
CODX     35      20     217.8  % 12   % 0.41    ORANGE   RED     0.1x
HTZ      35      20     19.6   % 40   % 0.02    MAROON   GREEN   0.8x
LPRO     35      20     56.7   % 46   % 0.04    MAROON   GREEN   0.4x
NDLS     35      20     45.9   % 57   % 0.02    MAROON   RED     0.5x
PDM      35      20     8.8    % 45   % 0.03    MAROON   RED     1.0x
QUAD     35      20     12.5   % 42   % 0.02    MAROON   RED     0.5x
KZR      31      20     8.1    % 29   % 0.24    ORANGE   RED     0.8x
NERV     30      20     29.6   % 20   % 0.13    ORANGE   RED     1.0x
UBCP     30      20     10.7   % 34   % 0.22    ORANGE   RED     0.9x
MERC     28      20     47.7   % 58   % 0.16    ORANGE   RED     0.6x
CIM      27      20     9.2    % 55   % 0.09    ORANGE   GREEN   0.5x
ENTA     26      20     41.9   % 18   % 0.06    ORANGE   RED     1.0x
SMRT     26      20     21.4   % 28   % 0.06    ORANGE   RED     1.0x
KPTI     25      20     52.3   % 23   % 0.03    ORANGE   RED     0.8x
MIND     25      20     44.2   % 51   % 0.00    ORANGE   RED     1.0x
MPW      25      20     12.0   % 22   % 0.01    ORANGE   RED     0.9x

================================================================================
DETAILED SIGNAL ANALYSIS
================================================================================

SIGNAL #1 - XXII - Quality Score: 85/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $10.51
  Consolidation:       20 days
  Range:               $9.99 - $14.85 (48.7%)
  Position in Range:   11% (lower third = buy zone)
  Normalized Price:    3.13 (DIVERGENCE)
  Force Index:         -3.39 (MAROON)
  Fader Signal:        RED
  Volume:              3.6x average

  SETUP: XXII consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 85/100

SIGNAL #2 - STTK - Quality Score: 84/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $4.15
  Consolidation:       20 days
  Range:               $3.08 - $4.89 (58.8%)
  Position in Range:   59% (lower third = buy zone)
  Normalized Price:    1.00 (DIVERGENCE)
  Force Index:         -0.33 (MAROON)
  Fader Signal:        RED
  Volume:              8.8x average

  SETUP: STTK consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 84/100

SIGNAL #3 - LPTH - Quality Score: 81/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $12.44
  Consolidation:       20 days
  Range:               $8.51 - $15.24 (79.1%)
  Position in Range:   58% (lower third = buy zone)
  Normalized Price:    2.96 (DIVERGENCE)
  Force Index:         -0.36 (MAROON)
  Fader Signal:        GREEN
  Volume:              1.4x average

  SETUP: LPTH consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 81/100

SIGNAL #4 - LTRX - Quality Score: 78/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $6.31
  Consolidation:       20 days
  Range:               $5.62 - $7.14 (27.0%)
  Position in Range:   45% (lower third = buy zone)
  Normalized Price:    0.72 (DIVERGENCE)
  Force Index:         -0.24 (MAROON)
  Fader Signal:        GREEN
  Volume:              1.8x average

  SETUP: LTRX consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 78/100

SIGNAL #5 - RGNX - Quality Score: 76/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $13.79
  Consolidation:       20 days
  Range:               $12.87 - $16.19 (25.8%)
  Position in Range:   28% (lower third = buy zone)
  Normalized Price:    0.68 (DIVERGENCE)
  Force Index:         -1.55 (MAROON)
  Fader Signal:        GREEN
  Volume:              1.9x average

  SETUP: RGNX consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 76/100

SIGNAL #6 - FCF - Quality Score: 72/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $17.47
  Consolidation:       20 days
  Range:               $16.56 - $18.42 (11.2%)
  Position in Range:   49% (lower third = buy zone)
  Normalized Price:    0.60 (DIVERGENCE)
  Force Index:         -0.02 (MAROON)
  Fader Signal:        GREEN
  Volume:              1.5x average

  SETUP: FCF consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 72/100

SIGNAL #7 - OSBC - Quality Score: 71/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $19.90
  Consolidation:       20 days
  Range:               $19.19 - $22.00 (14.6%)
  Position in Range:   25% (lower third = buy zone)
  Normalized Price:    0.48 (DIVERGENCE)
  Force Index:         -1.15 (MAROON)
  Fader Signal:        GREEN
  Volume:              2.0x average

  SETUP: OSBC consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 71/100

SIGNAL #8 - RMR - Quality Score: 71/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $16.05
  Consolidation:       20 days
  Range:               $14.73 - $16.78 (13.9%)
  Position in Range:   64% (lower third = buy zone)
  Normalized Price:    0.45 (DIVERGENCE)
  Force Index:         -0.15 (MAROON)
  Fader Signal:        GREEN
  Volume:              1.6x average

  SETUP: RMR consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 71/100

SIGNAL #9 - BANC - Quality Score: 66/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $19.92
  Consolidation:       20 days
  Range:               $19.11 - $21.61 (13.1%)
  Position in Range:   32% (lower third = buy zone)
  Normalized Price:    1.09 (DIVERGENCE)
  Force Index:         -0.89 (MAROON)
  Fader Signal:        GREEN
  Volume:              1.1x average

  SETUP: BANC consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 66/100

SIGNAL #10 - HBAN - Quality Score: 66/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $17.35
  Consolidation:       20 days
  Range:               $17.14 - $18.91 (10.3%)
  Position in Range:   12% (lower third = buy zone)
  Normalized Price:    0.26 (DIVERGENCE)
  Force Index:         -1.11 (MAROON)
  Fader Signal:        RED
  Volume:              1.8x average

  SETUP: HBAN consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 66/100

SIGNAL #11 - RLMD - Quality Score: 66/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $3.90
  Consolidation:       20 days
  Range:               $3.59 - $4.99 (39.0%)
  Position in Range:   22% (lower third = buy zone)
  Normalized Price:    0.27 (DIVERGENCE)
  Force Index:         -0.24 (MAROON)
  Fader Signal:        RED
  Volume:              1.8x average

  SETUP: RLMD consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 66/100

SIGNAL #12 - BOTJ - Quality Score: 65/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $18.12
  Consolidation:       20 days
  Range:               $17.34 - $18.70 (7.8%)
  Position in Range:   57% (lower third = buy zone)
  Normalized Price:    0.62 (DIVERGENCE)
  Force Index:         -0.26 (ORANGE)
  Fader Signal:        RED
  Volume:              3.8x average

  SETUP: BOTJ consolidating for 20 days,
         DIVERGENCE: EFI oversold (ORANGE) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 65/100

SIGNAL #13 - BCOW - Quality Score: 63/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $11.10
  Consolidation:       20 days
  Range:               $11.03 - $11.22 (1.7%)
  Position in Range:   37% (lower third = buy zone)
  Normalized Price:    0.13 (DIVERGENCE)
  Force Index:         -0.02 (MAROON)
  Fader Signal:        RED
  Volume:              2.2x average

  SETUP: BCOW consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 63/100

SIGNAL #14 - FFWM - Quality Score: 63/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $6.01
  Consolidation:       20 days
  Range:               $5.97 - $6.53 (9.5%)
  Position in Range:   7% (lower third = buy zone)
  Normalized Price:    0.13 (DIVERGENCE)
  Force Index:         -0.39 (MAROON)
  Fader Signal:        RED
  Volume:              1.6x average

  SETUP: FFWM consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 63/100

SIGNAL #15 - GES - Quality Score: 63/100
--------------------------------------------------------------------------------
  Date:                01/22/2026
  Current Price:       $16.81
  Consolidation:       20 days
  Range:               $16.73 - $16.90 (1.0%)
  Position in Range:   47% (lower third = buy zone)
  Normalized Price:    0.15 (DIVERGENCE)
  Force Index:         -0.02 (MAROON)
  Fader Signal:        GREEN
  Volume:              23.8x average

  SETUP: GES consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 63/100

SIGNAL #16 - STHO - Quality Score: 63/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $8.21
  Consolidation:       20 days
  Range:               $7.33 - $9.22 (25.8%)
  Position in Range:   47% (lower third = buy zone)
  Normalized Price:    0.15 (DIVERGENCE)
  Force Index:         -0.88 (MAROON)
  Fader Signal:        RED
  Volume:              1.8x average

  SETUP: STHO consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 63/100

SIGNAL #17 - MCW - Quality Score: 62/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $5.86
  Consolidation:       20 days
  Range:               $5.47 - $6.23 (14.0%)
  Position in Range:   52% (lower third = buy zone)
  Normalized Price:    0.24 (DIVERGENCE)
  Force Index:         -0.09 (MAROON)
  Fader Signal:        GREEN
  Volume:              1.4x average

  SETUP: MCW consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 62/100

SIGNAL #18 - EDUC - Quality Score: 61/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $1.41
  Consolidation:       20 days
  Range:               $1.23 - $1.58 (28.5%)
  Position in Range:   51% (lower third = buy zone)
  Normalized Price:    0.05 (DIVERGENCE)
  Force Index:         -0.00 (MAROON)
  Fader Signal:        GREEN
  Volume:              3.1x average

  SETUP: EDUC consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 61/100

SIGNAL #19 - REAL - Quality Score: 61/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $15.22
  Consolidation:       20 days
  Range:               $15.19 - $17.39 (14.5%)
  Position in Range:   1% (lower third = buy zone)
  Normalized Price:    1.02 (DIVERGENCE)
  Force Index:         -2.00 (MAROON)
  Fader Signal:        RED
  Volume:              1.0x average

  SETUP: REAL consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 61/100

SIGNAL #20 - SBGI - Quality Score: 61/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $15.05
  Consolidation:       20 days
  Range:               $14.50 - $15.71 (8.3%)
  Position in Range:   45% (lower third = buy zone)
  Normalized Price:    0.07 (DIVERGENCE)
  Force Index:         -0.28 (MAROON)
  Fader Signal:        GREEN
  Volume:              2.0x average

  SETUP: SBGI consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 61/100

SIGNAL #21 - AXTI - Quality Score: 60/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $17.40
  Consolidation:       20 days
  Range:               $14.05 - $26.66 (89.8%)
  Position in Range:   27% (lower third = buy zone)
  Normalized Price:    3.28 (DIVERGENCE)
  Force Index:         -5.76 (MAROON)
  Fader Signal:        RED
  Volume:              0.6x average

  SETUP: AXTI consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 60/100

SIGNAL #22 - CODA - Quality Score: 60/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $10.65
  Consolidation:       20 days
  Range:               $8.80 - $12.22 (38.9%)
  Position in Range:   54% (lower third = buy zone)
  Normalized Price:    1.13 (DIVERGENCE)
  Force Index:         -0.22 (MAROON)
  Fader Signal:        GREEN
  Volume:              0.6x average

  SETUP: CODA consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 60/100

SIGNAL #23 - EAF - Quality Score: 60/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $17.33
  Consolidation:       20 days
  Range:               $15.21 - $18.77 (23.4%)
  Position in Range:   60% (lower third = buy zone)
  Normalized Price:    1.67 (DIVERGENCE)
  Force Index:         -0.02 (MAROON)
  Fader Signal:        GREEN
  Volume:              0.7x average

  SETUP: EAF consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 60/100

SIGNAL #24 - FIGS - Quality Score: 60/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $11.05
  Consolidation:       20 days
  Range:               $10.69 - $12.50 (17.0%)
  Position in Range:   20% (lower third = buy zone)
  Normalized Price:    0.63 (DIVERGENCE)
  Force Index:         -1.30 (MAROON)
  Fader Signal:        RED
  Volume:              1.2x average

  SETUP: FIGS consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 60/100

SIGNAL #25 - GTX - Quality Score: 60/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $17.82
  Consolidation:       20 days
  Range:               $16.84 - $19.28 (14.5%)
  Position in Range:   40% (lower third = buy zone)
  Normalized Price:    1.06 (DIVERGENCE)
  Force Index:         -0.91 (MAROON)
  Fader Signal:        RED
  Volume:              0.8x average

  SETUP: GTX consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 60/100

SIGNAL #26 - LEG - Quality Score: 60/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $12.15
  Consolidation:       20 days
  Range:               $10.73 - $12.77 (19.0%)
  Position in Range:   70% (lower third = buy zone)
  Normalized Price:    1.30 (DIVERGENCE)
  Force Index:         -0.03 (MAROON)
  Fader Signal:        GREEN
  Volume:              0.8x average

  SETUP: LEG consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 60/100

SIGNAL #27 - MXL - Quality Score: 60/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $18.41
  Consolidation:       20 days
  Range:               $17.36 - $20.82 (19.9%)
  Position in Range:   30% (lower third = buy zone)
  Normalized Price:    1.08 (DIVERGENCE)
  Force Index:         -0.95 (MAROON)
  Fader Signal:        GREEN
  Volume:              0.9x average

  SETUP: MXL consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 60/100

SIGNAL #28 - NRGV - Quality Score: 60/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $5.44
  Consolidation:       20 days
  Range:               $4.41 - $6.35 (44.0%)
  Position in Range:   53% (lower third = buy zone)
  Normalized Price:    1.05 (DIVERGENCE)
  Force Index:         -0.14 (MAROON)
  Fader Signal:        GREEN
  Volume:              0.9x average

  SETUP: NRGV consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 60/100

SIGNAL #29 - NRIX - Quality Score: 60/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $18.56
  Consolidation:       20 days
  Range:               $16.98 - $20.18 (18.9%)
  Position in Range:   49% (lower third = buy zone)
  Normalized Price:    2.08 (DIVERGENCE)
  Force Index:         -0.51 (MAROON)
  Fader Signal:        GREEN
  Volume:              0.8x average

  SETUP: NRIX consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader GREEN confirming bullish momentum.
         Quality score: 60/100

SIGNAL #30 - OMER - Quality Score: 60/100
--------------------------------------------------------------------------------
  Date:                01/23/2026
  Current Price:       $11.93
  Consolidation:       20 days
  Range:               $11.52 - $17.65 (53.2%)
  Position in Range:   7% (lower third = buy zone)
  Normalized Price:    1.47 (DIVERGENCE)
  Force Index:         -1.44 (MAROON)
  Fader Signal:        RED
  Volume:              0.3x average

  SETUP: OMER consolidating for 20 days,
         DIVERGENCE: EFI oversold (MAROON) but norm price > 0,
         Fader RED confirming bullish momentum.
         Quality score: 60/100

SIGNAL #31 - PTN - Quality Score: 60/100
